Month,Day,Year,TmaxC,TminC,TdewC,Rs_MJ_m2
5,2,1997,21.66,9.25,5.94,27.99
5,3,1997,19.21,5.23,3.39,29.55
5,4,1997,23.66,7.51,6.17,29.25
5,5,1997,26.64,15.15,11.9,25.44
5,6,1997,27.73,12.92,14.13,24.55
5,7,1997,26.89,16.64,17.87,15.78
5,8,1997,24.59,13.18,15.23,12.31
5,9,1997,19.51,9.55,5.74,28.12
5,10,1997,22.08,6.02,4.3,30.2
5,11,1997,25.95,9.11,7.81,28.85
5,12,1997,19.59,10.58,4.93,19.81
5,13,1997,27.51,10.39,8.22,29.58
5,14,1997,26.09,14.93,9.76,26.96
5,15,1997,26.57,11.19,9.8,18.65
5,16,1997,27.35,10.74,9.64,29.53
5,17,1997,32.62,16.13,15.44,28.37
5,18,1997,31.57,20.25,16.32,29.05
5,19,1997,22.92,13.86,15.36,8.28
5,20,1997,22.25,12.43,11.78,24.1
5,21,1997,20.3,14.77,13.3,11.35
5,22,1997,22.41,15.91,15.25,-999
5,23,1997,25.35,16.29,17.07,15.11
5,24,1997,28.27,15.68,16.17,24.95
5,25,1997,29.93,17.43,17.68,24.46
5,26,1997,28.5,19.49,19.85,27.01
5,27,1997,25.45,15.47,12.75,28.37
5,28,1997,23.36,12.13,10.95,28.12
5,29,1997,27.51,12.55,11.55,25.79
5,30,1997,22.39,16.22,15.36,10.51
5,31,1997,26.01,12.74,11.86,28.02
6,1,1997,27.77,13.63,13.11,29.03
6,2,1997,25.39,16.96,14.12,17.32
6,3,1997,23.53,16.35,15.33,15.5
6,4,1997,25.08,15.5,15.48,24.11
6,5,1997,26.63,14.89,12.08,27.56
6,6,1997,26.52,15.18,13.29,17.27
6,7,1997,29.06,15.37,13.82,26.23
6,8,1997,25.01,15.74,16.34,9.08
6,9,1997,22.61,17.76,17.91,10.14
6,10,1997,25.76,17.53,15.87,20.61
6,11,1997,29.55,16.1,17.74,19.35
6,12,1997,33.65,18,17.96,29.1
6,13,1997,28.75,17.1,17.32,26.29
6,14,1997,31.4,17.5,17.26,27.91
6,15,1997,30.35,19.37,18.94,23.26
6,16,1997,31.29,17.57,16.05,29.4
6,17,1997,28.71,16.77,16.08,27.04
6,18,1997,32.89,17.35,14.77,29.97
6,19,1997,35.67,19.57,18.44,29.32
6,20,1997,36.22,23.01,20.24,29.35
6,21,1997,33.48,21.98,18.7,26.61
6,22,1997,28.27,18.3,17.93,14.49
6,23,1997,27.2,19.87,19.62,12.72
6,24,1997,32.22,21.85,19.02,29.32
6,25,1997,32.51,22.04,18.87,25.92
6,26,1997,30.6,18.31,18.01,23.57
6,27,1997,33.4,20.1,18.41,23.64
6,28,1997,32.73,22.01,20.49,26.06
6,29,1997,35.36,22.26,20.71,27.72
6,30,1997,35.06,20.78,19.31,29.13
7,1,1997,37.02,24.13,18.92,29.48
7,2,1997,37.15,23.39,17.82,-999
7,3,1997,36.34,22,18.04,29.7
7,4,1997,25.44,15.02,13.72,25.43
7,5,1997,27.91,15.3,13.58,29.44
7,6,1997,30.42,18.51,16.22,28.63
7,7,1997,30.88,18.29,18.54,26.42
7,8,1997,35.67,21.79,18.75,28.95
7,9,1997,33.97,20.9,18.58,27.17
7,10,1997,33.59,21.11,20.58,16.58
7,11,1997,32.91,20.39,18.96,22.86
7,12,1997,34.93,20.75,18.9,28.86
7,13,1997,36.07,23.56,19.8,28.87
7,14,1997,36.67,21.16,19.23,28.57
7,15,1997,33.35,22.53,20.01,23.49
7,16,1997,35.13,20.69,18.86,28
7,17,1997,35.85,22.74,18.71,26.46
7,18,1997,31.62,21.58,20.02,19.17
7,19,1997,31.84,23.02,22.27,25.55
7,20,1997,33.93,21.13,19.18,22.3
7,21,1997,34.82,22.22,20.83,12.94
7,22,1997,33.22,22.48,20.79,18.17
7,23,1997,36.37,21.89,18.33,28.29
7,24,1997,36.72,22.2,18.38,27.33
7,25,1997,35.39,23.7,20.19,25.79
7,26,1997,35.3,21.62,18.98,26.82
7,27,1997,35.64,22.47,19.92,25.28
7,28,1997,36.53,23.1,19.89,26.27
7,29,1997,31.78,23.68,22.81,20
7,30,1997,31.6,21.24,19.28,24.15
7,31,1997,32.97,18.32,14.4,27.93
8,1,1997,35.57,19.08,17.85,26.76
8,2,1997,34.44,20.14,18.87,26.06
8,3,1997,33.62,20.4,18.74,21.62
8,4,1997,36.33,21.61,18.83,26.75
8,5,1997,35.38,22.99,17.19,25.16
8,6,1997,25.51,17.02,16.48,3.46
8,7,1997,18.74,14.82,14.96,5.37
8,8,1997,25.87,15.74,15.79,19.63
8,9,1997,32.63,16.85,18.48,26.78
8,10,1997,32.67,21.56,21.73,17.67
8,11,1997,28.03,20.51,21.86,11.84
8,12,1997,29.63,22.9,21.6,15.64
8,13,1997,29.29,21.25,20.59,18.6
8,14,1997,32.68,20.15,20.31,21.96
8,15,1997,34.57,23.6,19.97,26.36
8,16,1997,35.03,24.89,21.28,24.36
8,17,1997,35.92,22.96,21.99,22.88
8,18,1997,31.9,21.81,22.45,17.06
8,19,1997,32.88,21.68,21.49,22.69
8,20,1997,31.9,20.83,20.81,21.47
8,21,1997,31.87,20.93,20.99,24.6
8,22,1997,28.82,18.81,19.8,25.12
8,23,1997,28.34,18.71,18.53,19.96
8,24,1997,29.79,17.29,18.23,25.26
8,25,1997,30.11,17.07,16.11,26.25
8,26,1997,31.85,17.7,16.24,25.65
8,27,1997,32.62,18.11,16.53,24.64
8,28,1997,33.82,18.67,16.21,24.91
8,29,1997,33.57,20.95,17.68,24.59
8,30,1997,35.3,20.87,18.3,23.68
8,31,1997,33.11,20.11,17.72,17.8
9,1,1997,34.57,20.32,17.78,23.51
9,2,1997,37.06,20,16.86,23.65
9,3,1997,27.24,22.75,20.7,8.53
9,4,1997,24.34,17.13,18.34,10.09
9,5,1997,29.05,19.17,18.66,18.01
9,6,1997,31.56,18.14,17.47,22.04
9,7,1997,34.14,17.68,16.01,22.58
9,8,1997,35.93,19.58,16.81,22.09
9,9,1997,25.89,17.93,17.82,10.72
9,10,1997,26.86,14.97,11.99,22.47
9,11,1997,27.51,13.38,11.93,22.69
9,12,1997,31.72,14.95,15.36,17.87
9,13,1997,34.6,21.65,18.94,22.08
9,14,1997,31.57,20.41,19.1,14.74
9,15,1997,35.09,19.84,18.37,18.16
9,16,1997,35.91,21.74,17.12,20.49
9,17,1997,37.13,20.66,17.1,22.11
9,18,1997,35.78,24.15,17.7,21.67
9,19,1997,35.52,23,17.46,20.88
9,20,1997,25.83,13.31,13.09,18.75
9,21,1997,24.12,13.23,12.87,15
9,22,1997,23.63,18.41,18.67,4.19
9,23,1997,21.84,15.78,16.79,-999
9,24,1997,18.3,15.35,14.58,6.56
9,25,1997,24.05,13.76,13.75,20.38
9,26,1997,26.85,11.46,13.99,19.68
9,27,1997,30.61,14.08,12.83,21.45
9,28,1997,25.5,13.15,8.36,16.38
9,29,1997,28.44,10.36,7.67,21.3
9,30,1997,31.93,14.76,16.24,19.78
10,1,1997,31.7,18.37,15.76,19.76
10,2,1997,32.58,18.5,16.1,19.96
10,3,1997,31.66,17.65,13.1,19.63
10,4,1997,31.06,18.97,14.75,18.82
10,5,1997,31.3,15.57,14.24,19.17
10,6,1997,28.99,18.89,17.52,15.8
10,7,1997,23.31,18.89,18.85,5.54
10,8,1997,29.53,19.03,18.26,11.46
10,9,1997,24.79,15.77,16.54,15.48
10,10,1997,26.81,19.36,19.3,9.31
10,11,1997,22.28,19.95,19.71,2.48
10,12,1997,22.83,9.13,7.26,7.28
10,13,1997,17.06,6.09,2.71,19.68
10,14,1997,21.63,6.16,5.21,19.27
10,15,1997,24.47,6.34,3.49,19.04
10,16,1997,21.31,7.63,7.94,17.7
10,17,1997,18.32,8.1,8.46,13.63
10,18,1997,21.55,6.44,7.56,17.95
10,19,1997,20.73,8.8,9.59,17.55
10,20,1997,18.27,10.49,10.45,9.61
10,21,1997,13.71,4.52,3.59,15.87
10,22,1997,15.26,2.41,3.62,17.39
10,23,1997,16.29,9.83,11.9,3.63
10,24,1997,20.86,12.39,11.24,12.94
10,25,1997,14.44,0.55,2.33,9.7
10,26,1997,8.89,0.77,-0.69,15.05
10,27,1997,12.55,-3.17,-1.37,16.24
10,28,1997,18.7,5.59,2.81,15.38
10,29,1997,19.27,4.09,8.05,11.42
10,30,1997,22.94,8.22,8.26,14.16
10,31,1997,25.72,5.12,3.58,16.32
11,1,1997,19.37,8.11,-0.78,16.45
11,2,1997,18.11,5.6,-2.51,16.57
11,3,1997,17.94,5.31,-3.95,16.57
11,4,1997,21.7,2.85,4.14,13.02
11,5,1997,17.29,4.62,2.6,15.68
11,6,1997,11.27,-0.99,-1.81,15.92
11,7,1997,14.61,-1.79,0.04,15.16
11,8,1997,18.58,2.51,2.62,14.17
11,9,1997,9.03,3.54,4.36,1.08
11,10,1997,5.46,-1.99,-3.19,11.59
11,11,1997,6.76,-3.88,-4.28,9.94
11,12,1997,5.98,0.61,-0.81,6.78
11,13,1997,6.48,2.85,2.95,4.14
11,14,1997,5.62,-2.03,-3.43,3.46
11,15,1997,3.71,-4.26,-7.18,14.4
11,16,1997,7.2,-7.44,-7.68,14.77
11,17,1997,9.84,-2.35,-2.39,10.83
11,18,1997,14.69,-2.21,1.04,13.78
11,19,1997,17.75,-1.94,-0.83,12.12
11,20,1997,14.75,5.69,5.55,-999
11,21,1997,14.42,3.96,1.61,11.91
11,22,1997,16.31,3.39,2.95,12.15
11,23,1997,18.33,0.56,1.3,12.94
11,24,1997,18.31,6.46,4.28,13.09
11,25,1997,21.07,3.31,7.53,12.35
11,26,1997,14.56,7.58,3.34,10.35
11,27,1997,19.29,7.76,8.49,2.02
11,28,1997,19.46,5.54,4.43,11.6
11,29,1997,8.43,2.16,2.96,2.4
11,30,1997,11.04,5.87,1.99,3.85
12,1,1997,9.33,6.32,3.68,2.31
12,2,1997,8.78,7.08,6.78,1.34
12,3,1997,7.02,-1.37,-0.5,2.68
12,4,1997,11.63,-1.92,-4.22,13.06
12,5,1997,3.47,-4.38,-8.32,12.86
12,6,1997,4.23,-6.63,-7.46,6.85
12,7,1997,3.95,2.38,-0.48,1.36
12,8,1997,7.01,1.6,2.28,2.92
12,9,1997,14.61,1.65,-0.22,11.52
12,10,1997,2.79,-0.38,-2.89,2.16
12,11,1997,1.54,-1.94,-3.68,4.45
12,12,1997,2.88,-6.56,-7.6,11.4
12,13,1997,9.78,-8.03,-6.05,12.29
12,14,1997,14.16,-4.02,-5.32,12.37
12,15,1997,17.7,-3.78,-5.39,12.46
12,16,1997,14.19,-1.45,-3.64,12.24
12,17,1997,16.45,-4.19,-4.75,12.5
12,18,1997,17.02,0.73,-2.77,11.92
12,19,1997,17.74,0.05,-2.77,12.47
12,20,1997,5.16,1.14,0.6,1.49
12,21,1997,2.59,0.31,-0.32,1.8
12,22,1997,7.39,-0.13,0.41,4.94
12,23,1997,2.99,0.11,0.33,0.93
12,24,1997,3.42,-0.03,-0.35,6.01
12,25,1997,3.6,0.3,-1.8,3.44
12,26,1997,6.38,-2.05,-4.68,10.37
12,27,1997,8.79,-4.04,-5.55,12.73
12,28,1997,5.68,-1.06,-3.19,8.18
12,29,1997,11.71,-2.92,-3.81,12.52
12,30,1997,15.33,-0.39,-4.49,12.37
12,31,1997,11.79,-2.67,-2.51,12.66
1,1,1998,15.75,2.43,3.01,11.83
1,2,1998,20.74,11.03,9.74,9.41
1,3,1998,20.09,2.59,8.19,7.04
1,4,1998,3.01,0.37,0.4,2.67
1,5,1998,8.96,2.04,4.86,3.24
1,6,1998,7.77,0.31,2.34,2.06
1,7,1998,0.27,-1.44,-1.86,1.13
1,8,1998,2.82,-2.55,-1.67,3.48
1,9,1998,3.42,-3.03,-1.61,3.81
1,10,1998,-0.39,-3.72,-3.56,3.09
1,11,1998,2.74,-0.35,0.43,2.44
1,12,1998,5.47,-1.5,0.34,2.36
1,13,1998,-1.46,-5.13,-5,2.48
1,14,1998,1.13,-2.52,-2.8,2.68
1,15,1998,13.28,-3.74,-2.36,13.58
1,16,1998,11.4,-0.11,-0.32,11.92
1,17,1998,13.29,-1.07,-0.6,11.85
1,18,1998,10.91,-0.97,-0.67,12.79
1,19,1998,8.85,-4.02,-2.11,9.74
1,20,1998,16.41,4.77,2.27,-999
1,21,1998,5.37,0.26,-1.96,-999
1,22,1998,5.78,-2.93,-4.74,9.88
1,23,1998,7.23,-3.9,-0.62,5.67
1,24,1998,13.08,-2.13,-2.84,14.31
1,25,1998,12.14,3.22,3.47,6.91
1,26,1998,15.02,1.96,0.15,14.78
1,27,1998,17.11,-0.92,-1.05,14.6
1,28,1998,16.37,3.62,1.31,10.82
1,29,1998,15.15,3.33,0.22,15.15
1,30,1998,16.92,0.51,1.55,15.08
1,31,1998,11.03,8.09,6.44,1.73
2,1,1998,13.37,3.33,2.81,15.39
2,2,1998,14.17,-0.99,1.19,15.78
2,3,1998,5.62,1.06,1.44,3.66
2,4,1998,5.23,-0.82,-1.09,7.9
2,5,1998,1.94,-1.56,-2.67,6.38
2,6,1998,7.39,-3.86,-4.74,16.16
2,7,1998,11.17,-3.86,-5.85,15.95
2,8,1998,13.86,2.28,2.38,15.37
2,9,1998,19.57,3.52,4.74,13.63
2,10,1998,9.38,2.29,1.64,5.89
2,11,1998,15.94,0.39,-1.82,16.92
2,12,1998,6.99,1.26,0.52,6.35
2,13,1998,13.28,-1.58,0.52,16.86
2,14,1998,14.91,1.08,3.99,9.1
2,15,1998,10.6,6.46,5.41,4.66
2,16,1998,6.9,5.3,4.35,1.8
2,17,1998,11.38,2.99,1.85,12.53
2,18,1998,14.81,0.31,0.98,15.35
2,19,1998,15.16,4,3.14,14.14
2,20,1998,16.89,0.8,1.29,13.78
2,21,1998,13.1,6.83,5.02,6.83
2,22,1998,12.62,5.29,4.75,6.6
2,23,1998,17.29,2.86,5,17.73
2,24,1998,20.75,6.13,5.82,16.71
2,25,1998,21.39,9.81,2.26,18.7
2,26,1998,14.72,2.67,-5.94,19.7
2,27,1998,12.13,-0.78,-7.26,17.27
2,28,1998,11.05,-1.16,-9.87,20.23
3,1,1998,11.82,-3.26,-11.6,20.59
3,2,1998,9.9,-3.59,-8.24,20.79
3,3,1998,13.46,-4.24,-5.4,20.29
3,4,1998,19.22,4.67,5.07,19.83
3,5,1998,7.73,2.34,0.8,5.71
3,6,1998,5.31,0.73,0.84,4.25
3,7,1998,8.55,1.69,3.74,2.66
3,8,1998,2.38,-2.73,-5.65,10.15
3,9,1998,2.81,-6.18,-11.3,22.71
3,10,1998,4.02,-8.62,-13.6,22.36
3,11,1998,0.38,-6.68,-9.73,20.22
3,12,1998,5.29,-8.68,-8.73,15.94
3,13,1998,14.97,-2.19,1.7,22.32
3,14,1998,14.09,6.93,8.97,4.29
3,15,1998,10.9,5.93,7.81,1.88
3,16,1998,13.19,8.06,9.77,1.81
3,17,1998,8.28,3.44,2.84,7.23
3,18,1998,11.29,3.34,4.1,10.97
3,19,1998,5.07,1.5,-0.05,5.37
3,20,1998,9.4,-0.32,-3.21,24.08
3,21,1998,14.15,-1.99,-3.15,22.81
3,22,1998,21.17,1.69,2.79,23.86
3,23,1998,21.18,5.97,7.11,20.4
3,24,1998,22.33,6.27,8.56,22.27
3,25,1998,26.08,13.47,13.69,23.2
3,26,1998,24.9,15.28,13.27,9.73
3,27,1998,23.41,11.88,8.57,17.51
3,28,1998,26.4,7.57,5.47,24.28
3,29,1998,25.59,16.63,14.7,15.71
3,30,1998,23.02,11.27,10.15,18
3,31,1998,16.26,5.42,1.67,21.85
4,1,1998,22.65,3.77,-0.52,25.57
4,2,1998,23.72,8.62,-0.1,24.54
4,3,1998,15.49,5.86,-1.81,20.39
4,4,1998,14.41,0.18,1.52,23.63
4,5,1998,22.2,2.47,5.72,25.23
4,6,1998,22.61,11.69,8.05,19.51
4,7,1998,22.51,8.23,3.64,24.83
4,8,1998,16.85,5.18,3.99,22.27
4,9,1998,19.69,2.37,0.15,26.83
4,10,1998,22.54,3.9,1.84,25.36
4,11,1998,25.94,9.8,6.3,26.51
4,12,1998,26.93,13.31,10.14,24.23
4,13,1998,25.83,13.41,7.22,27.16
4,14,1998,28.43,10.18,8.83,23.49
4,15,1998,22.01,9.81,8.47,26.99
4,16,1998,15.93,6.76,2.2,21.32
4,17,1998,16.13,3.98,0.35,22.59
4,18,1998,19.92,2.43,-0.76,26.07
4,19,1998,21.38,5.68,1.93,27.17
4,20,1998,14.91,5.19,0.3,8.08
4,21,1998,20.09,3.43,0.78,27.54
4,22,1998,22.02,6.05,2.36,27.88
4,23,1998,24.2,5.12,3.6,27.85
4,24,1998,29.77,12.17,8.66,26.81
4,25,1998,32.35,16.54,6.74,27.85
4,26,1998,20.11,12.05,12.91,5.03
4,27,1998,14.08,6.82,7.66,10.29
4,28,1998,11.14,6.67,4.95,7.19
4,29,1998,14.15,6.54,5.65,13.68
4,30,1998,23.57,4.9,5.56,28.86
5,1,1998,27.2,8.5,8.42,28.39
5,2,1998,26.42,12.78,11.35,24.27
5,3,1998,23.83,10.88,7.74,25.33
5,4,1998,27.22,10.02,8.96,26.63
5,5,1998,25.9,16.18,15.38,21.66
5,6,1998,28.01,15.65,15.51,16.82
5,7,1998,28.38,12.59,10.7,29.39
5,8,1998,26.03,13.7,11.33,19.3
5,9,1998,20.23,10.22,10.92,20.41
5,10,1998,25.89,11.24,11.6,27.91
5,11,1998,30.71,14.08,13.74,28.48
5,12,1998,32.2,14.79,11.88,29.8
5,13,1998,29.56,18.06,17.49,27.32
5,14,1998,31.2,21.65,19.36,20.03
5,15,1998,27.43,16.19,11.73,30.31
5,16,1998,31.35,11.58,8,29.86
5,17,1998,32.82,15.07,15.33,25.06
5,18,1998,34.73,22.07,16.64,24.53
5,19,1998,34.44,20.15,15.84,24.18
5,20,1998,35.25,18.33,13.58,19.7
5,21,1998,34.51,19.88,16.62,14.69
5,22,1998,33.81,20.68,15.48,13.19
5,23,1998,32.1,19.85,15.57,19.68
5,24,1998,34.3,17.54,17.38,27.07
5,25,1998,24.89,18.67,17.07,14.55
5,26,1998,29.17,17.11,16.43,22.63
5,27,1998,30.06,18.85,16.74,26.5
5,28,1998,36.42,16.67,17.85,28.1
5,29,1998,39.76,19.26,14.25,27.83
5,30,1998,38.88,20.69,11.56,27.12
5,31,1998,35.16,22.94,12.79,25.94
6,1,1998,40.55,19.47,12.56,26.72
6,2,1998,42.82,22.77,10.12,30.39
6,3,1998,37.87,21.93,16.14,27.44
6,4,1998,21.82,15.08,12.85,9.44
6,5,1998,22.6,12.14,8.42,21.62
6,6,1998,24.7,11.85,6.04,29.73
6,7,1998,25.88,11.64,10.69,23.28
6,8,1998,33.45,20.23,19.12,19.22
6,9,1998,35.44,19.56,18.88,27.99
6,10,1998,34.45,20.63,20.37,21.99
6,11,1998,33.64,19.44,14.06,30.56
6,12,1998,37.46,20.51,9.03,30.76
6,13,1998,37.95,21.17,19.32,28.72
6,14,1998,34.6,18.77,8.49,30.68
6,15,1998,28.93,16.54,10.22,27.38
6,16,1998,34.04,13.86,13.08,29.78
6,17,1998,34.21,25.01,19.8,26.13
6,18,1998,37.57,22.44,12.05,30.25
6,19,1998,38.58,20.26,19.04,27.33
6,20,1998,39.68,24.77,19.93,29.53
6,21,1998,39.1,23.19,13.92,29.43
6,22,1998,37.52,26.1,17.96,29.48
6,23,1998,36.3,25.13,17.64,29.6
6,24,1998,37.43,25.11,15.76,29.8
6,25,1998,37,26.43,16.7,29.17
6,26,1998,37.74,24.97,16.77,29.63
6,27,1998,39.02,24.82,20.16,29.44
6,28,1998,37.99,24.64,20.66,29.55
6,29,1998,37.64,25.75,21.21,29.24
6,30,1998,37.53,25.02,19.32,25.5
7,1,1998,34.66,24.41,21.15,26.42
7,2,1998,38.41,23.12,18.42,27.1
7,3,1998,37.26,22.18,18.42,28.99
7,4,1998,34.67,23.32,20.53,27.63
7,5,1998,29.94,24.03,22.13,13.41
7,6,1998,39.03,23.23,20.6,26.3
7,7,1998,41.07,25.95,19.51,24.72
7,8,1998,36.72,22.37,19.5,25.12
7,9,1998,38.19,23.98,19.72,28.16
7,10,1998,39.08,22.93,17.63,27.92
7,11,1998,39.89,25.53,18.32,21.99
7,12,1998,37.28,23.41,20.35,27.45
7,13,1998,37.77,22.96,19.84,27.22
7,14,1998,38.13,22.9,18.1,26.8
7,15,1998,38.26,22.24,17.4,25.43
7,16,1998,35.11,20.62,18.09,-999
7,17,1998,36.41,21.57,16.34,28.45
7,18,1998,38.36,21.69,14.74,27.06
7,19,1998,39.59,22.65,15.44,28.72
7,20,1998,39.25,22.75,15.29,27.88
7,21,1998,38.21,23.88,16.26,26.29
7,22,1998,38.88,21.89,16.22,23.65
7,23,1998,39.48,22.98,14.51,25.03
7,24,1998,40.45,25.1,15.43,22.79
7,25,1998,40.12,23.68,15.35,25.94
7,26,1998,40.3,28.31,13.27,27.14
7,27,1998,39.64,23.78,17.54,28
7,28,1998,39.63,23.82,17.83,26.27
7,29,1998,38.79,24.74,14.73,26.36
7,30,1998,39.83,25.82,16.85,27.16
7,31,1998,38,23.1,18.32,26.21
8,1,1998,39.52,21.35,16.97,26.21
8,2,1998,38.78,21.39,11.65,20.28
8,3,1998,33.07,22.23,18.71,15.47
8,4,1998,30.5,21.33,18.57,14.15
8,5,1998,29.78,20.75,18.16,21.78
8,6,1998,31.69,18.55,15.67,27.33
8,7,1998,34.67,20.11,14.13,26.15
8,8,1998,36.34,21.66,17.57,25.92
8,9,1998,38.56,24.2,15.77,25.2
8,10,1998,39.84,22.56,17.63,13.23
8,11,1998,29.69,21.77,20.18,12.68
8,12,1998,33.01,20.3,19.8,18.59
8,13,1998,32.01,20.79,19.3,21.26
8,14,1998,33.21,21.03,17.43,24.86
8,15,1998,34.95,19.09,14.21,26.87
8,16,1998,36.14,21.29,17.31,23.97
8,17,1998,36.85,21.89,17.01,26.07
8,18,1998,33.9,20.35,17.85,21.82
8,19,1998,35.61,21.11,17.03,23.02
8,20,1998,36.59,20.82,17.51,20.98
8,21,1998,35.54,21.51,16.76,23.43
8,22,1998,35.58,21.29,17.05,25.09
8,23,1998,35.83,19.95,16.88,25.43
8,24,1998,36.07,21.19,18.67,24.13
8,25,1998,36.31,22.6,19.26,16.15
8,26,1998,37.58,23.07,18.07,22.72
8,27,1998,37.71,22.58,16.13,23.49
8,28,1998,35.76,23,17.77,22.49
8,29,1998,35.37,18.15,11.76,25.61
8,30,1998,36.98,17,10.38,25.79
8,31,1998,37.34,18.58,13.51,21.53
9,1,1998,37.56,19.44,13.84,22.38
9,2,1998,35.35,19.51,15.8,20.48
9,3,1998,40.56,20.62,13.37,23.73
9,4,1998,41.02,21.13,8.42,24.45
9,5,1998,41.37,19.7,11.8,23.67
9,6,1998,39.03,24.35,14.84,20.35
9,7,1998,37.53,20.3,14.71,22.92
9,8,1998,36.05,20.08,16.07,21.93
9,9,1998,32.45,20.4,12.89,22.27
9,10,1998,31.19,15.11,3.33,24.94
9,11,1998,32.6,19.13,14.7,20.3
9,12,1998,29.27,19.99,18.37,15.83
9,13,1998,26.63,20.41,20.21,9.08
9,14,1998,32.67,19.37,17.91,22.34
9,15,1998,29.47,19.58,18.83,13.55
9,16,1998,29.66,18.81,18.3,16.93
9,17,1998,29.27,19.62,18.84,14.98
9,18,1998,31.9,18.71,17.6,-999
9,19,1998,34.41,19.28,16.66,21.2
9,20,1998,35.92,20.9,16.58,18.53
9,21,1998,36.92,20.11,17.41,19.08
9,22,1998,20.18,15.21,16.4,2.58
9,23,1998,27.42,16.16,17.9,13.25
9,24,1998,35.32,20.51,18.45,20.2
9,25,1998,34.96,23.75,17.63,20.7
9,26,1998,33.61,22.08,19.1,19.92
9,27,1998,34.61,21.99,19.75,18.51
9,28,1998,36.21,20.59,17.06,19.97
9,29,1998,36.41,19.27,16.69,19.9
9,30,1998,36.5,20.65,15.05,17.85
10,1,1998,26.02,14.29,16.64,9.81
10,2,1998,20.63,14.43,16.28,3.85
10,3,1998,23.27,15.68,17.6,7.92
10,4,1998,29.9,21.5,20.93,13.2
10,5,1998,24.25,12.16,10.49,7
10,6,1998,23.04,8.79,3.54,19.2
10,7,1998,23.19,8.04,5.21,19.28
10,8,1998,24.11,8.94,7.23,20.01
10,9,1998,26.88,10.03,8.73,19.26
10,10,1998,26.88,11.86,10.83,19.36
10,11,1998,28.22,14.4,13.49,18.41
10,12,1998,25.35,14.53,14.49,16.79
10,13,1998,27.88,14.42,14.36,13.2
10,14,1998,29.81,17.08,14.28,17.76
10,15,1998,28.16,16.77,13.79,15.22
10,16,1998,22.45,19.67,17.9,1.83
10,17,1998,24.94,12.89,9.32,8.63
10,18,1998,19.12,7.54,4.72,18.86
10,19,1998,21.24,7.43,5.91,18.14
10,20,1998,16.31,11,8.91,-999
10,21,1998,18.03,8.39,7.58,11.69
